                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7557,                 5.1367,                 4.1177,                0.00014,                0.01454,                  9e-05,                  2e-05,                 3.9034,                 4.4385,                 4.1443,             0.00046641,             0.00046641,             0.00046641
                      2,                 2.8929,                 3.8125,                 3.3867,                0.00067,                0.03684,                0.00041,                0.00014,                 3.5965,                 4.3571,                 4.0593,             0.00084941,             0.00084941,             0.00084941
                      3,                 2.3247,                 2.8908,                 2.5875,                0.43173,                0.10138,                0.05661,                0.02131,                 2.4463,                 4.3337,                 2.6507,              0.0011381,              0.0011381,              0.0011381
                      4,                 2.0798,                 2.4256,                 2.2056,                0.76833,                0.10889,                0.08975,                0.04381,                 2.0511,                 4.7749,                 2.2012,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.9349,                 2.0721,                 1.9898,                0.67418,                0.20834,                0.25396,                0.13576,                 1.7961,                  2.044,                 1.9947,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.8395,                 1.8958,                 1.8626,                0.76761,                0.27159,                0.32234,                0.17896,                 1.6648,                 1.5031,                 1.7731,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.7424,                 1.6797,                 1.7251,                 0.7917,                0.29565,                0.35015,                0.18784,                 1.6818,                 1.6287,                 1.7898,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.6571,                 1.5865,                 1.6523,                0.81415,                0.35044,                0.44115,                0.24407,                 1.6238,                 1.3193,                 1.7062,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.6356,                 1.5354,                 1.6369,                0.81361,                0.32976,                0.42828,                 0.2394,                 1.5413,                 1.3147,                 1.6202,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.5618,                 1.4453,                 1.5689,                0.82319,                0.36709,                0.47411,                0.27413,                 1.5112,                 1.2527,                 1.5975,             0.00015576,             0.00015576,             0.00015576
